./pushswap 1 2 3 operations: 0
./pushswap 1 3 2 operations: 2
./pushswap 2 1 3 operations: 1
./pushswap 2 3 1 operations: 1
./pushswap 3 1 2 operations: 1
./pushswap 3 2 1 operations: 2
./pushswap 1 2 3 4 operations: 0
./pushswap 1 2 4 3 operations: 4
./pushswap 1 3 2 4 operations: 3
./pushswap 1 3 4 2 operations: 3
./pushswap 1 4 2 3 operations: 3
./pushswap 1 4 3 2 operations: 4
./pushswap 2 1 3 4 operations: 4
./pushswap 2 1 4 3 operations: 5
./pushswap 2 3 1 4 operations: 5
./pushswap 2 3 4 1 operations: 1
./pushswap 2 4 1 3 operations: 5
./pushswap 2 4 3 1 operations: 5
./pushswap 3 1 2 4 operations: 5
./pushswap 3 1 4 2 operations: 4
./pushswap 3 2 1 4 operations: 6
./pushswap 3 2 4 1 operations: 4
./pushswap 3 4 1 2 operations: 2
./pushswap 3 4 2 1 operations: 4
./pushswap 4 1 2 3 operations: 1
./pushswap 4 1 3 2 operations: 4
./pushswap 4 2 1 3 operations: 5
./pushswap 4 2 3 1 operations: 4
./pushswap 4 3 1 2 operations: 6
./pushswap 4 3 2 1 operations: 5
./pushswap 1 2 3 4 5 operations: 0
./pushswap 1 2 3 5 4 operations: 6
./pushswap 1 2 4 3 5 operations: 5
./pushswap 1 2 4 5 3 operations: 5
./pushswap 1 2 5 3 4 operations: 5
./pushswap 1 2 5 4 3 operations: 6
./pushswap 1 3 2 4 5 operations: 6
./pushswap 1 3 2 5 4 operations: 7
./pushswap 1 3 4 2 5 operations: 7
./pushswap 1 3 4 5 2 operations: 2
./pushswap 1 3 5 2 4 operations: 7
./pushswap 1 3 5 4 2 operations: 7
./pushswap 1 4 2 3 5 operations: 7
./pushswap 1 4 2 5 3 operations: 6
./pushswap 1 4 3 2 5 operations: 8
./pushswap 1 4 3 5 2 operations: 6
./pushswap 1 4 5 2 3 operations: 3
./pushswap 1 4 5 3 2 operations: 6
./pushswap 1 5 2 3 4 operations: 2
./pushswap 1 5 2 4 3 operations: 6
./pushswap 1 5 3 2 4 operations: 7
./pushswap 1 5 3 4 2 operations: 6
./pushswap 1 5 4 2 3 operations: 8
./pushswap 1 5 4 3 2 operations: 7
./pushswap 2 1 3 4 5 operations: 3
./pushswap 2 1 3 5 4 operations: 8
./pushswap 2 1 4 3 5 operations: 7
./pushswap 2 1 4 5 3 operations: 7
./pushswap 2 1 5 3 4 operations: 7
./pushswap 2 1 5 4 3 operations: 8
./pushswap 2 3 1 4 5 operations: 6
./pushswap 2 3 1 5 4 operations: 11
./pushswap 2 3 4 1 5 operations: 4
./pushswap 2 3 4 5 1 operations: 1
